feature,importance
FP_974,0.022294013423735666
FP_1145,0.022160275925655164
FP_1480,0.022158241076235315
FP_1109,0.02202538277639515
FP_1436,0.021989862379021643
FP_381,0.021782285197996906
FP_1823,0.021582324913482945
FP_667,0.02121614411184487
FP_249,0.021138428503796082
FP_289,0.02111829410521171
FP_790,0.0208712512579757
FP_1309,0.02085605724065916
FP_1536,0.020691587341970075
FP_1430,0.020591556614639458
FP_191,0.020223243910446807
FP_1475,0.020028416794447366
FP_1535,0.01991064120053262
FP_216,0.019835367592016793
FP_1440,0.01979667843413641
FP_84,0.019783406308625344
FP_561,0.019671095973339874
FP_1729,0.01954191491525962
FP_809,0.019361847990070232
FP_45,0.01903150003233949
FP_932,0.018779697880626958
FP_843,0.018484074377482118
FP_1840,0.018429347900524726
FP_1162,0.018368066273323536
FP_116,0.018210952169599313
FP_486,0.01816929802617408
FP_1604,0.01814115452720192
FP_940,0.018124951855718822
FP_1391,0.018013178738288053
FP_1985,0.017967154361711125
FP_1522,0.01780856036143527
FP_235,0.017735143711438892
FP_849,0.01766742264705186
FP_1810,0.017616826177851375
FP_1603,0.017454110486395998
FP_448,0.017364559373383708
FP_1814,0.01735077505734446
FP_718,0.017347986201896762
FP_787,0.0170142176894133
FP_251,0.016814849856012073
FP_352,0.016787636984001108
FP_833,0.016745490722143187
FP_1154,0.01673044207921644
FP_1195,0.016564096723347764
FP_202,0.016353900010854548
FP_878,0.016273889398082178
FP_1791,0.016144669570828187
FP_1476,0.016109340253064167
FP_102,0.01591055238232103
FP_203,0.01587754545106663
FP_1825,0.01583774914096104
FP_909,0.015771812529563407
FP_1163,0.01576154505780914
FP_1224,0.015662937057293193
FP_1070,0.01556620722965477
FP_661,0.015526413996280039
FP_1063,0.014912878676384038
FP_305,0.014680506242614117
FP_1665,0.01467073443616197
FP_1168,0.014388371221398803
FP_237,0.014295243618525254
FP_1257,0.014264018595772058
FP_816,0.014257343688082279
FP_1365,0.013988555911569268
FP_231,0.013871969601831942
FP_1809,0.01368506199770084
FP_1353,0.013503828323188069
FP_1004,0.013234743227601499
FP_119,0.01299002065728937
FP_888,0.012570850102653445
FP_1581,0.012533462355621703
FP_679,0.012488297133757677
FP_1047,0.012467788474235426
FP_1970,0.012373267892106578
FP_162,0.012250625760384935
FP_1349,0.012173548764528353
FP_803,0.012086323993288624
FP_165,0.012026087242485448
FP_1631,0.011955292408616541
FP_1238,0.011933579865573082
FP_703,0.011927367423136112
FP_361,0.011859520673766794
FP_1027,0.0115969771980247
FP_1035,0.011345329254088272
FP_1920,0.011291896058673204
FP_781,0.011195063799314921
FP_736,0.0111238126285415
FP_1157,0.01096368043550401
FP_319,0.010822042576604258
FP_1670,0.01080627370298409
FP_1249,0.01052468646058618
