iter	Passed	Remaining
984	40185	24478
985	40227	24438
986	40254	24389
987	40284	24342
988	40315	24295
989	40342	24246
990	40367	24195
991	40395	24147
992	40422	24098
993	40454	24052
994	40475	24000
995	40523	23964
996	40557	23919
997	40599	23879
998	40630	23833
999	40663	23788
1000	40697	23743
1001	40734	23700
1002	40765	23654
1003	40790	23604
1004	40819	23557
1005	40864	23519
1006	40894	23472
1007	40932	23430
1008	40958	23381
1009	40983	23332
1010	41006	23281
1011	41032	23232
1012	41069	23190
1013	41102	23145
1014	41130	23098
1015	41167	23055
1016	41197	23009
1017	41224	22961
1018	41252	22913
1019	41282	22867
1020	41320	22825
1021	41360	22784
1022	41389	22738
1023	41419	22691
1024	41455	22649
1025	41491	22606
1026	41544	22572
1027	41604	22542
1028	41643	22501
1029	41672	22454
1030	41708	22411
1031	41736	22364
1032	41759	22315
1033	41788	22268
1034	41826	22226
1035	41864	22185
1036	41904	22144
1037	41946	22104
1038	41977	22059
1039	42006	22013
1040	42044	21971
1041	42074	21925
1042	42113	21884
1043	42152	21843
1044	42186	21799
1045	42226	21759
1046	42259	21715
1047	42297	21673
1048	42324	21626
1049	42364	21585
1050	42406	21546
1051	42442	21503
1052	42479	21461
1053	42525	21424
1054	42562	21382
1055	42595	21337
1056	42629	21294
1057	42665	21251
1058	42700	21209
1059	42740	21168
1060	42785	21130
1061	42816	21085
1062	42863	21048
1063	42887	21000
1064	42928	20960
1065	42965	20918
1066	43001	20875
1067	43038	20834
1068	43081	20795
1069	43115	20752
1070	43153	20710
1071	43189	20668
1072	43219	20622
1073	43247	20576
1074	43287	20536
1075	43320	20492
1076	43363	20453
1077	43397	20410
1078	43439	20370
1079	43483	20332
1080	43524	20292
1081	43557	20249
1082	43586	20203
1083	43618	20159
1084	43654	20117
1085	43686	20073
1086	43717	20028
1087	43757	19988
1088	43783	19942
1089	43810	19895
1090	43830	19846
1091	43859	19801
1092	43898	19760
1093	43924	19713
1094	43967	19674
1095	43994	19628
1096	44027	19585
1097	44056	19540
1098	44090	19497
1099	44125	19455
1100	44158	19411
1101	44187	19367
1102	44226	19326
1103	44272	19289
1104	44310	19247
1105	44348	19207
1106	44383	19164
1107	44424	19125
1108	44457	19081
1109	44499	19042
1110	44534	19000
1111	44571	18959
1112	44606	18916
1113	44643	18875
1114	44675	18831
1115	44717	18792
1116	44753	18750
1117	44798	18712
1118	44829	18668
1119	44864	18626
1120	44896	18583
1121	44933	18542
1122	44970	18500
1123	45007	18459
1124	45040	18416
1125	45082	18377
1126	45127	18339
1127	45171	18300
1128	45195	18254
1129	45241	18216
1130	45295	18182
1131	45338	18143
1132	45385	18106
1133	45425	18066
1134	45454	18021
1135	45491	17980
1136	45523	17937
1137	45568	17899
1138	45612	17860
1139	45655	17821
1140	45693	17781
1141	45728	17738
1142	45774	17701
1143	45811	17659
1144	45831	17612
1145	45866	17570
1146	45904	17529
1147	45937	17486
1148	45971	17444
1149	46022	17408
1150	46070	17371
1151	46108	17330
1152	46153	17292
1153	46192	17252
1154	46220	17207
1155	46255	17165
1156	46294	17125
1157	46330	17083
1158	46372	17044
1159	46396	16998
1160	46433	16957
1161	46465	16914
1162	46514	16878
1163	46557	16838
1164	46602	16800
1165	46644	16761
1166	46685	16722
1167	46712	16677
1168	46765	16641
1169	46814	16605
1170	46857	16566
1171	46903	16528
1172	46937	16486
1173	46973	16444
1174	46997	16399
1175	47027	16355
1176	47078	16319
1177	47126	16282
1178	47166	16242
1179	47196	16198
1180	47226	16155
1181	47262	16113
1182	47295	16071
1183	47332	16030
1184	47365	15988
1185	47392	15944
1186	47422	15900
1187	47452	15857
1188	47486	15815
1189	47523	15774
1190	47554	15731
1191	47592	15691
1192	47642	15654
1193	47680	15614
1194	47720	15574
1195	47753	15531
1196	47792	15491
1197	47832	15451
1198	47880	15414
1199	47914	15372
1200	47956	15333
1201	47993	15292
1202	48025	15250
1203	48066	15210
1204	48105	15170
1205	48140	15128
1206	48177	15087
1207	48205	15044
1208	48237	15001
1209	48279	14962
1210	48317	14922
1211	48353	14881
1212	48396	14842
1213	48436	14802
1214	48464	14758
1215	48507	14719
1216	48538	14677
1217	48571	14635
1218	48613	14596
1219	48647	14554
1220	48683	14513
1221	48721	14472
1222	48755	14431
1223	48799	14392
1224	48840	14353
1225	48871	14310
1226	48903	14268
1227	48956	14232
1228	48994	14192
1229	49039	14153
1230	49101	14120
1231	49146	14081
1232	49171	14037
1233	49206	13996
1234	49248	13957
1235	49295	13919
1236	49335	13879
1237	49371	13838
1238	49407	13797
1239	49450	13758
1240	49494	13719
1241	49540	13681
1242	49562	13636
1243	49614	13600
1244	49660	13561
1245	49697	13521
1246	49752	13485
1247	49796	13446
1248	49833	13406
1249	49881	13368
1250	49924	13329
1251	49972	13291
1252	50004	13249
1253	50065	13214
1254	50109	13176
1255	50143	13134
1256	50200	13099
1257	50232	13057
1258	50271	13017
1259	50318	12979
1260	50370	12942
1261	50412	12902
1262	50457	12864
1263	50509	12827
1264	50547	12786
1265	50587	12746
1266	50625	12706
1267	50668	12667
1268	50711	12627
1269	50747	12586
1270	50779	12545
1271	50825	12506
1272	50856	12464
1273	50911	12428
1274	50959	12390
1275	50996	12349
1276	51045	12311
1277	51085	12271
1278	51120	12230
1279	51149	12188
1280	51190	12148
1281	51229	12108
1282	51256	12065
1283	51295	12024
1284	51337	11985
1285	51384	11947
1286	51441	11910
1287	51471	11868
1288	51513	11829
1289	51548	11788
1290	51569	11744
1291	51600	11702
1292	51636	11661
1293	51675	11620
1294	51717	11581
1295	51744	11538
1296	51780	11497
1297	51815	11456
1298	51856	11417
1299	51901	11378
1300	51935	11337
1301	51983	11299
1302	52026	11259
1303	52067	11220
1304	52100	11178
1305	52145	11139
1306	52180	11098
1307	52217	11058
1308	52257	11018
1309	52287	10976
1310	52317	10934
1311	52345	10892
1312	52376	10850
1313	52401	10807
1314	52428	10764
1315	52462	10723
1316	52510	10685
1317	52555	10646
1318	52596	10606
1319	52650	10570
1320	52691	10530
1321	52723	10488
1322	52753	10447
1323	52801	10408
1324	52837	10368
1325	52881	10328
1326	52928	10290
1327	52967	10250
1328	53000	10209
1329	53036	10168
1330	53071	10127
1331	53095	10084
1332	53130	10044
1333	53164	10003
1334	53190	9960
1335	53231	9921
1336	53278	9882
1337	53323	9843
1338	53369	9804
1339	53411	9765
1340	53446	9724
1341	53487	9685
1342	53535	9646
1343	53570	9605
1344	53598	9564
1345	53631	9522
1346	53664	9481
1347	53699	9441
1348	53730	9399
1349	53764	9359
1350	53803	9318
1351	53823	9275
1352	53850	9233
1353	53889	9193
1354	53931	9154
1355	53964	9113
1356	53999	9072
1357	54039	9033
1358	54075	8992
1359	54102	8950
1360	54129	8908
1361	54165	8868
1362	54212	8829
1363	54247	8789
1364	54278	8748
1365	54314	8707
1366	54361	8669
1367	54409	8630
1368	54457	8592
1369	54493	8551
1370	54543	8513
1371	54574	8472
1372	54602	8431
1373	54638	8390
1374	54679	8351
1375	54703	8308
1376	54736	8268
1377	54776	8228
1378	54810	8187
1379	54845	8147
1380	54888	8108
1381	54924	8067
1382	54963	8027
1383	54990	7986
1384	55029	7946
1385	55054	7904
1386	55086	7863
1387	55122	7823
1388	55157	7783
1389	55185	7741
1390	55219	7701
1391	55256	7661
1392	55290	7620
1393	55332	7581
1394	55383	7543
1395	55415	7502
1396	55454	7462
1397	55486	7421
1398	55514	7380
1399	55555	7341
1400	55583	7300
1401	55614	7259
1402	55655	7219
1403	55689	7179
1404	55720	7138
1405	55766	7099
1406	55797	7058
1407	55842	7019
1408	55866	6978
1409	55905	6938
1410	55941	6898
1411	55977	6858
1412	56013	6818
1413	56053	6778
1414	56086	6738
1415	56124	6698
1416	56153	6657
1417	56184	6616
1418	56218	6576
1419	56254	6536
1420	56287	6496
1421	56319	6455
1422	56348	6414
1423	56373	6373
1424	56405	6333
1425	56449	6294
1426	56488	6254
1427	56531	6215
1428	56558	6174
1429	56598	6134
1430	56631	6094
1431	56659	6053
1432	56691	6013
1433	56721	5972
1434	56758	5932
1435	56793	5892
1436	56829	5853
1437	56860	5812
1438	56889	5771
1439	56920	5731
1440	56951	5691
1441	56992	5651
1442	57021	5611
1443	57055	5571
1444	57095	5531
1445	57132	5491
1446	57169	5452
1447	57211	5412
1448	57264	5374
1449	57295	5334
1450	57326	5294
1451	57358	5253
1452	57393	5214
1453	57425	5173
1454	57466	5134
1455	57496	5094
1456	57529	5054
1457	57567	5014
1458	57601	4974
1459	57645	4935
1460	57688	4896
1461	57721	4856
1462	57750	4815
1463	57784	4775
1464	57830	4736
1465	57867	4697
1466	57913	4658
1467	57957	4619
1468	57992	4579
1469	58035	4540
1470	58070	4500
1471	58114	4461
1472	58158	4422
1473	58189	4382
1474	58236	4343
1475	58286	4304
1476	58319	4264
1477	58364	4225
1478	58391	4184
1479	58433	4145
1480	58455	4104
1481	58510	4066
1482	58554	4027
1483	58599	3988
1484	58638	3948
1485	58689	3909
1486	58723	3870
1487	58762	3830
1488	58798	3790
1489	58835	3751
1490	58865	3711
1491	58900	3671
1492	58926	3631
1493	58958	3591
1494	58997	3551
1495	59035	3512
1496	59064	3472
1497	59099	3432
1498	59119	3391
1499	59153	3352
1500	59191	3312
1501	59220	3272
1502	59245	3232
1503	59269	3192
1504	59302	3152
1505	59333	3112
1506	59356	3072
1507	59386	3032
1508	59417	2992
1509	59449	2952
1510	59465	2912
1511	59500	2872
1512	59536	2833
1513	59576	2793
1514	59614	2754
1515	59656	2715
1516	59692	2675
1517	59729	2636
1518	59772	2597
1519	59805	2557
1520	59837	2517
1521	59857	2477
1522	59893	2438
1523	59924	2398
1524	59946	2358
1525	59981	2319
1526	60013	2279
1527	60045	2239
1528	60090	2200
1529	60125	2161
1530	60159	2121
1531	60191	2082
1532	60228	2042
1533	60258	2003
1534	60288	1963
1535	60326	1924
1536	60355	1884
1537	60389	1845
1538	60417	1805
1539	60452	1766
1540	60490	1727
1541	60535	1688
1542	60570	1648
1543	60605	1609
1544	60637	1569
1545	60670	1530
1546	60696	1490
1547	60724	1451
1548	60754	1411
1549	60780	1372
1550	60818	1333
1551	60858	1294
1552	60887	1254
1553	60918	1215
1554	60968	1176
1555	61009	1137
1556	61041	1097
1557	61082	1058
1558	61129	1019
1559	61160	980
1560	61199	940
1561	61233	901
1562	61267	862
1563	61304	823
1564	61343	783
1565	61377	744
1566	61418	705
1567	61451	666
1568	61497	627
1569	61533	587
1570	61562	548
1571	61604	509
1572	61645	470
1573	61681	431
1574	61731	391
1575	61771	352
1576	61811	313
1577	61849	274
1578	61891	235
1579	61931	195
1580	61975	156
1581	62014	117
1582	62051	78
1583	62099	39
1584	62126	0
